Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
	(0.12157)	(0.12171)	(0.12036)	(0.12162)	(0.12119)	(0.12144)	(0.12154)	(0.12092)	(0.12232)	(0.12080)	(0.11853)	(0.12004)	(0.12129)	(0.12153)	(0.12146)	(0.12113)	(0.12133)	(0.12172)	(0.12148)	(0.12155)	(0.12182)	(0.12131)	(0.12163)	(0.12152)	(0.11994)	(0.12164)	(0.12277)	(0.12168)	(0.12087)	(0.12239)	(0.12151)	(0.12137)	(0.12167)	(0.12160)	(0.12163)	(0.12158)	(0.12137)	(0.12145)	(0.12155)	(0.12156)	(0.12158)
L.P_Auditing_Y3R		-0.00341																																							
		(0.00783)																																							
L.P_Auditing_CmY3R		-0.01745***																																							
		(0.00624)																																							
L.P_Buildingcodesandstandar_Y3R			-0.01600***																																						
			(0.00588)																																						
L.P_Buildingcodesandstandar_CmY3R			-0.03066***																																						
			(0.00599)																																						
L.P_Comparisonlabel_Y3R				0.00594																																					
				(0.00382)																																					
L.P_Comparisonlabel_CmY3R				-0.01540***																																					
				(0.00270)																																					
L.P_COtaxes_Y3R					-0.03539***																																				
					(0.00798)																																				
L.P_COtaxes_CmY3R					-0.07820***																																				
					(0.01135)																																				
L.P_Demonstrationproject_Y3R						0.00229																																			
						(0.00235)																																			
