Table 1 - Climate laws and their effect on emission																																									
	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)
VARIABLES	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2	lnco2
																																									
lnco2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)	(.)
	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
L.P_Adviceoraidinimplementa_Y3R	0.00202																																								
	(0.00171)																																								
	0.23779																																								
L.P_Adviceoraidinimplementa_CmY3R	-0.00373***																																								
	(0.00068)																																								
	0.00000																																								
	0.00961	0.01020	0.01582	0.01144	0.01112	0.01021	0.01084	0.01249	0.01149	0.01212	0.14215	0.05610	0.01082	0.01062	0.01173	0.01326	0.01383	0.00880	0.00983	0.00883	0.00791	0.01008	0.01061	0.00941	0.02582	0.01147	0.00735	0.00929	0.00901	0.00884	0.01054	0.00893	0.00885	0.00994	0.00989	0.01153	0.00962	0.00955	0.00932	0.00907	0.00950
L.dtemp	-0.01614**	-0.01541**	-0.01510**	-0.01591**	-0.01527**	-0.01621**	-0.01690**	-0.01610**	-0.01538**	-0.01605**	-0.01271*	-0.01295*	-0.01668**	-0.01617**	-0.01605**	-0.01619**	-0.01536**	-0.01608**	-0.01592**	-0.01624**	-0.01640**	-0.01610**	-0.01597**	-0.01581**	-0.01627**	-0.01560**	-0.01561**	-0.01578**	-0.01561**	-0.01609**	-0.01630**	-0.01629**	-0.01610**	-0.01570**	-0.01669**	-0.01591**	-0.01510**	-0.01599**	-0.01581**	-0.01642**	-0.01609**
	(0.00712)	(0.00709)	(0.00706)	(0.00708)	(0.00706)	(0.00711)	(0.00709)	(0.00703)	(0.00709)	(0.00704)	(0.00668)	(0.00693)	(0.00710)	(0.00709)	(0.00709)	(0.00709)	(0.00706)	(0.00711)	(0.00712)	(0.00713)	(0.00711)	(0.00709)	(0.00711)	(0.00711)	(0.00690)	(0.00708)	(0.00712)	(0.00709)	(0.00707)	(0.00713)	(0.00710)	(0.00711)	(0.00712)	(0.00711)	(0.00712)	(0.00712)	(0.00707)	(0.00711)	(0.00711)	(0.00713)	(0.00711)
	0.02346	0.02985	0.03269	0.02480	0.03061	0.02273	0.01731	0.02208	0.03006	0.02273	0.05741	0.06195	0.01883	0.02261	0.02361	0.02246	0.02973	0.02384	0.02541	0.02292	0.02112	0.02328	0.02481	0.02618	0.01848	0.02758	0.02846	0.02600	0.02742	0.02422	0.02173	0.02205	0.02385	0.02735	0.01922	0.02564	0.03271	0.02462	0.02636	0.02138	0.02373
L.federal2	-0.01456	-0.00479	-0.00646	-0.01653	-0.01926	-0.01490	-0.01785	-0.02270	-0.01892	0.01381	0.02033	-0.00911	-0.01709	-0.01295	-0.00971	-0.02349	0.00779	-0.01105	-0.01497	-0.01506	-0.01613	-0.01797	-0.01560	-0.01285	-0.02132	-0.01552	-0.00559	-0.00898	-0.01007	-0.01105	-0.01532	-0.01230	-0.01059	-0.01381	-0.01296	-0.01636	-0.01801	-0.01402	-0.01319	-0.01328	-0.01387
	(0.04446)	(0.04300)	(0.04601)	(0.04466)	(0.04493)	(0.04453)	(0.04485)	(0.04522)	(0.04469)	(0.04106)	(0.03483)	(0.03763)	(0.04481)	(0.04480)	(0.04225)	(0.04543)	(0.04201)	(0.04408)	(0.04456)	(0.04458)	(0.04468)	(0.04482)	(0.04453)	(0.04446)	(0.04344)	(0.04467)	(0.04343)	(0.04318)	(0.04367)	(0.04411)	(0.04445)	(0.04427)	(0.04406)	(0.04433)	(0.04419)	(0.04482)	(0.04469)	(0.04439)	(0.04432)	(0.04435)	(0.04451)
	0.74338	0.91138	0.88837	0.71134	0.66814	0.73799	0.69060	0.61569	0.67207	0.73657	0.55957	0.80873	0.70298	0.77249	0.81823	0.60511	0.85283	0.80209	0.73691	0.73553	0.71812	0.68861	0.72615	0.77261	0.62368	0.72836	0.89759	0.83522	0.81763	0.80227	0.73035	0.78121	0.80997	0.75541	0.76940	0.71506	0.68708	0.75214	0.76605	0.76472	0.75529
L.rle1	-0.68170***	-0.67381***	-0.66204***	-0.68104***	-0.66635***	-0.68390***	-0.67167***	-0.65080***	-0.72292***	-0.66739***	-0.50155***	-0.54787***	-0.68202***	-0.67102***	-0.65401***	-0.67157***	-0.69247***	-0.69612***	-0.67772***	-0.68734***	-0.69991***	-0.68228***	-0.67795***	-0.68725***	-0.67946***	-0.68511***	-0.69247***	-0.69676***	-0.69816***	-0.69582***	-0.68683***	-0.69086***	-0.69814***	-0.68386***	-0.69017***	-0.68869***	-0.68008***	-0.68762***	-0.69015***	-0.68870***	-0.67970***
	(0.12157)	(0.12171)	(0.12036)	(0.12162)	(0.12119)	(0.12144)	(0.12154)	(0.12092)	(0.12232)	(0.12080)	(0.11853)	(0.12004)	(0.12129)	(0.12153)	(0.12146)	(0.12113)	(0.12133)	(0.12172)	(0.12148)	(0.12155)	(0.12182)	(0.12131)	(0.12163)	(0.12152)	(0.11994)	(0.12164)	(0.12277)	(0.12168)	(0.12087)	(0.12239)	(0.12151)	(0.12137)	(0.12167)	(0.12160)	(0.12163)	(0.12158)	(0.12137)	(0.12145)	(0.12155)	(0.12156)	(0.12158)
	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00002	0.00001	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
L.P_Auditing_Y3R		-0.00341																																							
		(0.00783)																																							
		0.66361																																							
L.P_Auditing_CmY3R		-0.01745***																																							
		(0.00624)																																							
		0.00521																																							
L.P_Buildingcodesandstandar_Y3R			-0.01600***																																						
			(0.00588)																																						
			0.00651																																						
L.P_Buildingcodesandstandar_CmY3R			-0.03066***																																						
			(0.00599)																																						
			0.00000																																						
L.P_Comparisonlabel_Y3R				0.00594																																					
				(0.00382)																																					
				0.11994																																					
L.P_Comparisonlabel_CmY3R				-0.01540***																																					
				(0.00270)																																					
				0.00000																																					
L.P_COtaxes_Y3R					-0.03539***																																				
					(0.00798)																																				
					0.00001																																				
L.P_COtaxes_CmY3R					-0.07820***																																				
					(0.01135)																																				
					0.00000																																				
L.P_Demonstrationproject_Y3R						0.00229																																			
						(0.00235)																																			
						0.33008																																			
L.P_Demonstrationproject_CmY3R						-0.00701***																																			
						(0.00116)																																			
						0.00000																																			
L.P_Endorsementlabel_Y3R							-0.00437																																		
							(0.00488)																																		
							0.37066																																		
L.P_Endorsementlabel_CmY3R							-0.02185***																																		
							(0.00385)																																		
							0.00000																																		
L.P_Energyandothertaxes_Y3R								-0.00069																																	
								(0.00752)																																	
								0.92641																																	
L.P_Energyandothertaxes_CmY3R								-0.03707***																																	
								(0.00546)																																	
								0.00000																																	
L.P_Feedintariffsorpremiums_Y3R									-0.00626																																
									(0.00523)																																
									0.23149																																
L.P_Feedintariffsorpremiums_CmY3R									-0.01792***																																
									(0.00344)																																
									0.00000																																
L.P_Formallegallybindingcli_Y3R										-0.01496																															
										(0.01002)																															
										0.13564																															
L.P_Formallegallybindingcli_CmY3R										-0.05816***																															
										(0.01142)																															
										0.00000																															
L.P_FormallegallybindingGHG_Y3R											-0.10212***																														
											(0.01311)																														
											0.00000																														
L.P_FormallegallybindingGHG_CmY3R											-0.22483***																														
											(0.01483)																														
											0.00000																														
L.P_Formallegallybindingren_Y3R												-0.06356***																													
												(0.01007)																													
												0.00000																													
L.P_Formallegallybindingren_CmY3R												-0.14300***																													
												(0.01308)																													
												0.00000																													
L.P_Fundstosubnationalgover_Y3R													-0.00390																												
													(0.00339)																												
													0.25064																												
L.P_Fundstosubnationalgover_CmY3R													-0.02545***																												
													(0.00355)																												
													0.00000																												
L.P_GHGemissionreductioncre_Y3R														0.03305***																											
														(0.01113)																											
														0.00301																											
L.P_GHGemissionreductioncre_CmY3R														-0.01559***																											
														(0.00593)																											
														0.00859																											
L.P_GHGemissionsallowances_Y3R															-0.00447																										
															(0.01040)																										
															0.66762																										
