countries,diversity,Fitness,ECI
Portugal,10.0,0.008093867051473854,-0.005409066224205794
Qatar,2.0,9.216839588074698e-207,-0.1001903509699116
Republic of Korea,45.0,9.811950565791227,0.03504425150488357
Romania,8.0,0.03800024418852887,-0.00080378114336556
Russian Federation,27.0,0.6353524073074208,0.02066945995288987
Rwanda,6.0,0.021186987908864807,-0.04020310270316062
Saint Kitts and Nevis,1.0,1.4316240973226998e-207,-0.1323438200760278
Saint Lucia,2.0,1.4606741130898904e-206,-0.11399009404043645
Saint Vincent and the Grenadines,2.0,1.028940496169143e-206,-0.12212436640543152
Samoa,2.0,2.2032897897944934e-206,-0.10377064036984025
San Marino,1.0,1.4316240973226998e-207,-0.1323438200760278
Sao Tome and Principe,2.0,9.216839588074698e-207,-0.1001903509699116
Saudi Arabia,20.0,6.62517320128363,0.025421868805347914
Senegal,6.0,0.003930198856807045,-0.06448520396236705
Serbia,3.0,7.623673815499137e-92,-0.04594342033719977
Seychelles,5.0,2.4483695160093454e-92,-0.08241911947181821
Sierra Leone,2.0,9.216839588074698e-207,-0.1001903509699116
Singapore,9.0,0.22380732961217364,-0.004472107458140274
Slovakia,17.0,0.19740432207861733,0.01769144855664699
Slovenia,9.0,0.14573305805634645,0.026982604662802955
Solomon Islands,5.0,0.0021601207057768555,-0.07494557858525684
Somalia,2.0,9.216839588074698e-207,-0.1001903509699116
South Africa,32.0,4.015282922051224,0.02595038726597118
South Sudan,3.0,2.2391956621650902e-206,-0.09867235664822274
Spain,37.0,4.5870780154314295,0.03661210401472981
Sri Lanka,4.0,1.0670973125582151e-106,-0.07708529352624774
Sudan,1.0,7.785215490751997e-207,-0.06803688186379563
Suriname,7.0,0.02335640210419318,-0.047133770575087296
Sweden,31.0,4.245544268085425,0.046073027177339625
Switzerland,28.0,7.444397952183589,0.02794472080345203
Syrian Arab Republic,8.0,0.04614436062103772,-0.010355281301603585
Tajikistan,12.0,0.07903321214695844,-0.023231519319203992
"Tanzania, United Republic of",9.0,0.06100061211556553,-0.02125249907055329
Thailand,18.0,0.3626895008536185,0.004835905558858741
Timor-Leste,1.0,7.785215490751997e-207,-0.06803688186379563
Togo,3.0,1.0670973125568962e-106,-0.06780553781712313
Tonga,10.0,0.08235757665449898,-0.02086588166748311
Trinidad and Tobago,4.0,0.0013636111229853212,-0.06470476592750993
Tunisia,14.0,0.22803546908300557,0.01951990036937274
Turkey,34.0,1.7665580067206608,0.023754875280559317
Turkmenistan,1.0,1.3175117033576206e-206,-0.09563636800484507
Tuvalu,4.0,3.124973748601963e-206,-0.10198049566987583
Uganda,11.0,0.20407194835057138,0.009843398184422276
Ukraine,22.0,0.7343414980922187,0.019430130277782752
United Arab Emirates,12.0,0.22086161651289596,-0.006165167304674025
United Kingdom,40.0,8.00702395256749,0.03357237228582462
United States of America,39.0,12.085169686732291,0.04124498450964671
Uruguay,17.0,0.11500550964760496,0.0014120812696200593
Uzbekistan,18.0,0.11333495583984077,0.003386193466086885
Vanuatu,5.0,9.040160130828094e-178,-0.0909158304434878
"Venezuela, Bolivarian Republic of",5.0,0.0034982146224696,-0.04916718911690338
Viet Nam,23.0,0.9652207357098849,0.010942675728540055
Yemen,4.0,2.4483695160093454e-92,-0.07911480733856141
Zambia,8.0,0.004868194618797773,-0.030978503467461588
Zimbabwe,6.0,0.0036731214473374888,-0.04058735321268952
