Source,Target,Weight,Type
0,46,0.024544356609574002,Undirected
0,52,0.024709046991655687,Undirected
1,3,0.019925699945049787,Undirected
1,5,0.019756311456001856,Undirected
1,6,0.02007003694619794,Undirected
1,17,0.017179781003310416,Undirected
1,18,0.019811688311688308,Undirected
1,20,0.027715457999838305,Undirected
1,23,0.027692432043997232,Undirected
1,25,0.02670384517443341,Undirected
1,26,0.02638308858897094,Undirected
1,28,0.023190009337068163,Undirected
1,30,0.01708532875515798,Undirected
1,33,0.018325425046900545,Undirected
1,36,0.023512503730720048,Undirected
1,37,0.027434470758000165,Undirected
1,44,0.021021797639217053,Undirected
1,47,0.02040337027953127,Undirected
1,51,0.02067065614124438,Undirected
2,10,0.022860321627622665,Undirected
2,24,0.020382915695415695,Undirected
2,37,0.018429487179487176,Undirected
3,5,0.019331184811060973,Undirected
3,9,0.02397862070849687,Undirected
3,11,0.027762381962507736,Undirected
3,12,0.024773903856721194,Undirected
3,14,0.021841846019477598,Undirected
3,17,0.022477562807014954,Undirected
3,18,0.018213447292899438,Undirected
3,20,0.01822585683566409,Undirected
3,22,0.01856897483495949,Undirected
3,23,0.021013560406480045,Undirected
3,24,0.018461819076176663,Undirected
3,25,0.02061373018853837,Undirected
3,26,0.025286529202937873,Undirected
3,28,0.01692131398013751,Undirected
3,30,0.018587634692947785,Undirected
3,36,0.02513073270762188,Undirected
3,44,0.01984629830195301,Undirected
3,51,0.02378714646953979,Undirected
4,6,0.0171019290307216,Undirected
4,8,0.02251485576152068,Undirected
4,16,0.023717940873681887,Undirected
4,18,0.019272471849137007,Undirected
4,23,0.02025881298439292,Undirected
4,36,0.01960358538730568,Undirected
4,37,0.02268427986963456,Undirected
4,44,0.01703458216091537,Undirected
4,47,0.01838661736987096,Undirected
4,51,0.020348771934388495,Undirected
4,52,0.023510136336825485,Undirected
5,8,0.017107396337044854,Undirected
5,9,0.018885552012486997,Undirected
5,15,0.017660165670546294,Undirected
5,16,0.017932989732297695,Undirected
5,17,0.018276325447150438,Undirected
5,18,0.02140279037971129,Undirected
5,23,0.02084132725687593,Undirected
5,26,0.019841603758012426,Undirected
5,28,0.01732394712270873,Undirected
5,36,0.019304943256306484,Undirected
5,37,0.023193606788808028,Undirected
5,47,0.02309865369955435,Undirected
6,23,0.02036433511321712,Undirected
6,26,0.017704051767519262,Undirected
6,28,0.024755982579511993,Undirected
6,32,0.019611222111222112,Undirected
6,36,0.01947335485735566,Undirected
6,43,0.019896245984137282,Undirected
6,51,0.019426680302841292,Undirected
7,15,0.022414038078999717,Undirected
7,22,0.017525990409285607,Undirected
7,27,0.024544356609574002,Undirected
7,38,0.018810916179337233,Undirected
7,45,0.02611658130052779,Undirected
7,52,0.01995962974223844,Undirected
8,17,0.01953786397144303,Undirected
8,18,0.01993271202176108,Undirected
8,19,0.024015562442672417,Undirected
8,22,0.018229621143876093,Undirected
8,27,0.02650248302422216,Undirected
8,35,0.022468055912871966,Undirected
8,39,0.018058173710347625,Undirected
8,45,0.02262007780402429,Undirected
8,46,0.022468055912871966,Undirected
8,52,0.022270427454373944,Undirected
9,10,0.01918076156830482,Undirected
9,11,0.02073056596130235,Undirected
9,18,0.02103354386299601,Undirected
9,20,0.019831777796423755,Undirected
9,23,0.028712838252816716,Undirected
9,25,0.021966437938304946,Undirected
9,26,0.018390078703546194,Undirected
9,29,0.0235855740677638,Undirected
9,30,0.02545109614967712,Undirected
9,47,0.028003827527821334,Undirected
9,51,0.01944645696580681,Undirected
10,11,0.018091901218836207,Undirected
10,14,0.018633785140962176,Undirected
10,18,0.02035735074229884,Undirected
10,23,0.02130151839904162,Undirected
10,24,0.02387190997733899,Undirected
10,26,0.019368088027029932,Undirected
10,28,0.020977086158747056,Undirected
10,30,0.028022068610076258,Undirected
10,33,0.02367796797495506,Undirected
10,36,0.02085868764069456,Undirected
10,37,0.02242774766563694,Undirected
10,42,0.018058041864042595,Undirected
10,43,0.01862858738396234,Undirected
10,47,0.018063402860115665,Undirected
11,13,0.03276481372141118,Undirected
